start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2019-10-01 00:00:08,6174,2019-10-01 00:03:28,6175,199,1
2019-10-01 00:01:13,6196,2019-10-01 00:04:38,6196,205,1
2019-10-01 00:01:34,6033,2019-10-01 00:05:07,6723,212,1
2019-10-01 00:02:33,6136,2019-10-01 00:06:50,6165,256,1
2019-10-01 00:02:34,6204,2019-10-01 00:04:18,6079,104,1
2019-10-01 00:02:49,6052,2019-10-01 00:12:45,6052,596,1
2019-10-01 00:04:07,6149,2019-10-01 00:12:31,6376,503,1
2019-10-01 00:04:25,7032,2019-10-01 00:11:44,6233,438,1
2019-10-01 00:04:51,6118,2019-10-01 00:09:14,6120,262,1
2019-10-01 00:05:01,6204,2019-10-01 00:13:41,6248,519,0
2019-10-01 00:05:01,6095,2019-10-01 00:14:02,6095,540,1
2019-10-01 00:05:52,6753,2019-10-01 00:24:24,6362,1111,1
2019-10-01 00:06:23,6387,2019-10-01 00:12:22,6394,359,1
2019-10-01 00:06:26,6181,2019-10-01 00:09:14,7038,168,1
2019-10-01 00:06:41,6254,2019-10-01 00:14:36,6234,475,1
2019-10-01 00:07:11,6432,2019-10-01 00:32:29,6116,1517,0
2019-10-01 00:07:46,6021,2019-10-01 00:14:02,6171,375,1
2019-10-01 00:09:19,6404,2019-10-01 00:28:55,7026,1176,1
2019-10-01 00:09:51,6100,2019-10-01 00:17:38,6053,466,1
2019-10-01 00:11:00,6184,2019-10-01 00:21:55,6133,654,1
2019-10-01 00:11:33,6146,2019-10-01 00:19:40,6141,487,1
2019-10-01 00:11:56,6080,2019-10-01 00:29:15,6080,1039,1
2019-10-01 00:12:12,6435,2019-10-01 00:36:12,7011,1439,1
2019-10-01 00:12:50,6255,2019-10-01 00:18:47,6335,357,0
2019-10-01 00:14:05,6394,2019-10-01 00:15:58,6391,113,1
2019-10-01 00:14:28,7083,2019-10-01 00:27:09,6043,761,1
2019-10-01 00:15:08,6225,2019-10-01 00:32:59,6261,1071,1
2019-10-01 00:15:32,6906,2019-10-01 00:47:15,6029,1902,1
2019-10-01 00:16:05,6389,2019-10-01 00:19:41,6733,216,1
2019-10-01 00:16:59,6277,2019-10-01 00:34:20,6221,1041,0
2019-10-01 00:17:45,7023,2019-10-01 00:27:13,6343,567,1
2019-10-01 00:18:22,6275,2019-10-01 00:23:22,6268,299,1
2019-10-01 00:19:02,6391,2019-10-01 00:31:01,6368,718,1
2019-10-01 00:19:21,7063,2019-10-01 00:22:26,6332,185,1
2019-10-01 00:19:26,6165,2019-10-01 00:22:24,6163,178,1
2019-10-01 00:20:34,6227,2019-10-01 00:27:57,6202,442,1
2019-10-01 00:21:12,6396,2019-10-01 00:27:12,6383,360,1
2019-10-01 00:21:59,6395,2019-10-01 00:27:31,7017,332,1
2019-10-01 00:22:16,6013,2019-10-01 00:26:53,6018,276,1
2019-10-01 00:23:01,6183,2019-10-01 00:24:40,6221,99,1
2019-10-01 00:23:54,6721,2019-10-01 00:25:59,6722,125,1
2019-10-01 00:24:21,6747,2019-10-01 00:27:25,6503,183,1
2019-10-01 00:24:51,6386,2019-10-01 00:32:16,6916,444,1
2019-10-01 00:25:34,6046,2019-10-01 00:36:07,6070,633,0
2019-10-01 00:25:55,6111,2019-10-01 00:46:14,6915,1218,1
2019-10-01 00:26:11,6427,2019-10-01 00:29:51,6341,220,1
2019-10-01 00:26:55,6130,2019-10-01 00:34:12,6373,436,1
2019-10-01 00:27:15,6387,2019-10-01 00:32:36,7018,320,1
2019-10-01 00:27:29,6907,2019-10-01 00:33:19,6261,350,1
2019-10-01 00:27:31,6187,2019-10-01 00:31:05,6160,214,0
2019-10-01 00:27:31,6912,2019-10-01 00:29:58,6311,146,1
2019-10-01 00:27:36,6396,2019-10-01 00:29:36,6417,119,1
2019-10-01 00:27:40,6209,2019-10-01 00:47:24,6029,1183,0
2019-10-01 00:29:30,6114,2019-10-01 00:46:53,6248,1043,1
2019-10-01 00:29:43,7061,2019-10-01 00:34:59,6733,315,1
2019-10-01 00:30:38,6213,2019-10-01 00:32:21,6179,103,1
2019-10-01 00:30:52,6226,2019-10-01 00:47:48,6387,1015,0
2019-10-01 00:31:21,7065,2019-10-01 00:36:32,6340,311,1
2019-10-01 00:31:21,7065,2019-10-01 00:36:30,6340,309,1
2019-10-01 00:31:59,6163,2019-10-01 00:41:22,6371,562,1
2019-10-01 00:33:00,6175,2019-10-01 00:36:44,6176,223,1
2019-10-01 00:35:01,6229,2019-10-01 00:40:26,6136,324,1
2019-10-01 00:35:29,6723,2019-10-01 00:45:13,6226,583,1
2019-10-01 00:35:54,6168,2019-10-01 00:39:50,6258,236,1
2019-10-01 00:36:09,6913,2019-10-01 00:45:53,6187,583,1
2019-10-01 00:41:13,6721,2019-10-01 00:44:28,6722,195,1
2019-10-01 00:45:35,6128,2019-10-01 00:49:51,6386,255,1
2019-10-01 00:46:16,6136,2019-10-01 00:51:33,6167,317,1
2019-10-01 00:46:17,6236,2019-10-01 00:55:13,6119,535,0
2019-10-01 00:46:44,6338,2019-10-01 00:57:46,6279,661,1
2019-10-01 00:49:30,7112,2019-10-01 00:54:31,7048,301,1
2019-10-01 00:50:35,6148,2019-10-01 00:57:55,6178,439,1
2019-10-01 00:51:26,6903,2019-10-01 00:59:52,7084,505,1
2019-10-01 00:52:17,6374,2019-10-01 00:58:51,6374,394,1
2019-10-01 00:52:41,7003,2019-10-01 00:57:45,6404,304,1
2019-10-01 00:53:27,6120,2019-10-01 00:56:17,7078,169,1
2019-10-01 00:54:22,6182,2019-10-01 00:59:46,6224,324,1
2019-10-01 00:54:32,6195,2019-10-01 00:58:51,6158,259,1
2019-10-01 00:54:55,6152,2019-10-01 00:58:10,7029,194,1
2019-10-01 00:55:08,6176,2019-10-01 01:00:03,6170,294,1
2019-10-01 00:56:11,7033,2019-10-01 01:31:36,6369,2125,0
2019-10-01 00:59:16,6176,2019-10-01 01:05:17,6137,361,1
2019-10-01 00:59:47,7034,2019-10-01 01:06:31,6350,404,1
2019-10-01 01:02:22,6221,2019-10-01 01:09:25,7083,423,1
2019-10-01 01:02:34,6114,2019-10-01 01:06:23,6110,229,1
2019-10-01 01:03:30,7149,2019-10-01 02:04:17,7149,3647,1
2019-10-01 01:03:57,6100,2019-10-01 01:10:40,6205,403,1
2019-10-01 01:04:04,6100,2019-10-01 01:18:28,6015,863,1
2019-10-01 01:04:32,6187,2019-10-01 01:07:19,6154,166,1
2019-10-01 01:06:12,6312,2019-10-01 01:08:29,6240,136,1
2019-10-01 01:07:18,6253,2019-10-01 01:13:05,6503,347,1
2019-10-01 01:07:59,6119,2019-10-01 01:28:10,7065,1210,1
2019-10-01 01:13:24,10002,2019-10-01 01:16:00,6349,156,1
2019-10-01 01:13:24,6280,2019-10-01 01:21:31,6255,486,1
2019-10-01 01:16:35,6391,2019-10-01 01:24:25,6720,470,1
2019-10-01 01:19:12,6229,2019-10-01 01:31:31,6265,739,0
2019-10-01 01:22:08,6211,2019-10-01 01:25:25,6205,196,1
2019-10-01 01:23:34,6175,2019-10-01 01:25:28,7074,114,1
2019-10-01 01:31:15,6176,2019-10-01 01:38:59,7073,463,1
2019-10-01 01:31:44,6049,2019-10-01 01:50:58,6119,1153,1
2019-10-01 01:31:55,6040,2019-10-01 01:55:23,6275,1407,0
2019-10-01 01:32:40,6051,2019-10-01 01:36:30,6234,229,1
2019-10-01 01:33:40,6907,2019-10-01 01:39:09,6260,329,1
2019-10-01 01:35:03,7084,2019-10-01 01:47:07,6213,724,1
2019-10-01 01:36:53,6368,2019-10-01 01:47:03,6750,610,0
2019-10-01 01:37:23,6204,2019-10-01 01:45:34,6224,491,0
2019-10-01 01:43:51,6211,2019-10-01 01:47:56,6178,244,1
2019-10-01 01:44:31,6305,2019-10-01 01:46:16,6304,104,1
2019-10-01 01:45:54,6207,2019-10-01 01:48:38,6202,164,1
2019-10-01 01:48:19,6304,2019-10-01 01:58:00,6903,581,1
2019-10-01 01:49:43,6929,2019-10-01 02:19:17,6231,1774,1
2019-10-01 01:51:19,6249,2019-10-01 02:13:22,7020,1323,1
2019-10-01 01:53:35,6019,2019-10-01 02:02:59,6385,564,1
2019-10-01 01:54:29,6066,2019-10-01 01:59:26,6209,297,1
2019-10-01 01:58:30,6311,2019-10-01 02:04:33,7063,363,0
2019-10-01 01:58:53,6078,2019-10-01 02:11:56,6106,782,1
2019-10-01 02:00:18,6315,2019-10-01 02:24:25,6258,1447,1
2019-10-01 02:05:30,6908,2019-10-01 02:12:02,6266,392,1
2019-10-01 02:07:38,6227,2019-10-01 02:11:25,6201,227,1
2019-10-01 02:08:32,6248,2019-10-01 02:25:36,6388,1023,1
2019-10-01 02:17:33,6157,2019-10-01 02:29:38,6229,725,1
2019-10-01 02:18:51,6070,2019-10-01 02:26:35,6214,464,1
2019-10-01 02:19:03,6231,2019-10-01 02:36:22,7014,1038,1
2019-10-01 02:25:08,6112,2019-10-01 02:49:35,6359,1467,1
2019-10-01 02:27:13,7059,2019-10-01 02:30:07,7143,174,1
2019-10-01 02:27:59,6114,2019-10-01 02:33:54,6014,354,1
2019-10-01 02:34:44,6158,2019-10-01 02:41:35,6094,410,1
2019-10-01 02:35:19,6127,2019-10-01 02:38:48,6330,209,1
