"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,10404.22,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,10632.72,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,10911.88,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,11205.63,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,11441.82,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,11628.23,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,11814.1,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,11976.4,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,12144.32,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,12286.8,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,12524.53,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,12698.14,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,12977.56,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,13287.7,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,3970.875,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,4037.65,"B","Break"
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,4123.925,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,4166.05,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,4205.125,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,4220.075,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,4246.225,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,4293.375,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,4336.05,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,4357.575,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,4400.1,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,4490.25,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,4508.325,,
"AUT","Austria","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,4539.075,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,4625.85,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,4647.15,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,4733.3,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,4779.3,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,4800.275,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,4894.6,"B","Break"
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,4855.95,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,4892.925,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,4947.125,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,4966.85,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,4973.475,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,4976.3,"B","Break"
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,4991.5,,
"BEL","Belgium","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,5055.9,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,17292.13,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,17502.2,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,17846.53,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,18122.4,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,18250.43,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,18450.53,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,18619.57,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,18809.53,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,19037.78,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,19124.46,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,19278.04,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,19440.52,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,19662.94,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,19812.81,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,5174.2,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,5199.725,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,5198.575,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,5232.3,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,5286.45,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,5268.75,"B","Break"
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,5223.225,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,5256.8,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,5306,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,5297.875,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,5309.85,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,5349.975,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,5376.975,,
"CZE","Czech Republic","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,5415.3,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,2892.075,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,2919.125,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,2914.45,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,2954.2,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,2947.5,,
"DNK","Denmark","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,2924.4,,
