"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","HPI_RPI","Price to rent ratio","2016-Q1","Q1-2016","IDX","Index","0","Units",,,104.842911193347,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2016-Q2","Q2-2016","IDX","Index","0","Units",,,106.345921314645,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2016-Q3","Q3-2016","IDX","Index","0","Units",,,108.538605102291,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2016-Q4","Q4-2016","IDX","Index","0","Units",,,111.359379175723,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2017-Q1","Q1-2017","IDX","Index","0","Units",,,114.353280745057,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2017-Q2","Q2-2017","IDX","Index","0","Units",,,116.252464525636,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2017-Q3","Q3-2017","IDX","Index","0","Units",,,118.046091630404,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2017-Q4","Q4-2017","IDX","Index","0","Units",,,120.801071669135,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2018-Q1","Q1-2018","IDX","Index","0","Units",,,123.457673738547,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2018-Q2","Q2-2018","IDX","Index","0","Units",,,126.404983485039,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2018-Q3","Q3-2018","IDX","Index","0","Units",,,129.280249568604,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2018-Q4","Q4-2018","IDX","Index","0","Units",,,131.809932166586,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2019-Q1","Q1-2019","IDX","Index","0","Units",,,132.482872053245,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2019-Q2","Q2-2019","IDX","Index","0","Units",,,131.779295913673,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2016-Q1","Q1-2016","1","RATIOS","0","Units",,,135.267057347897,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2016-Q2","Q2-2016","1","RATIOS","0","Units",,,137.482825247985,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2016-Q3","Q3-2016","1","RATIOS","0","Units",,,141.628476232547,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2016-Q4","Q4-2016","1","RATIOS","0","Units",,,144.261770921377,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2017-Q1","Q1-2017","1","RATIOS","0","Units",,,149.217308563569,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2017-Q2","Q2-2017","1","RATIOS","0","Units",,,151.301775166123,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2017-Q3","Q3-2017","1","RATIOS","0","Units",,,152.659186361769,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2017-Q4","Q4-2017","1","RATIOS","0","Units",,,151.312349790939,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2018-Q1","Q1-2018","1","RATIOS","0","Units",,,153.713141182084,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2018-Q2","Q2-2018","1","RATIOS","0","Units",,,154.036392018443,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2018-Q3","Q3-2018","1","RATIOS","0","Units",,,154.035188357347,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2018-Q4","Q4-2018","1","RATIOS","0","Units",,,153.910760440676,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2019-Q1","Q1-2019","1","RATIOS","0","Units",,,153.0498040375,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2019-Q2","Q2-2019","1","RATIOS","0","Units",,,149.849113276872,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2019-Q3","Q3-2019","1","RATIOS","0","Units",,,148.857395078324,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,102.768652156823,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2016-Q2","Q2-2016","IDX","Index","0","Units",,,102.950787274722,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2016-Q3","Q3-2016","IDX","Index","0","Units",,,102.463295724414,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2016-Q4","Q4-2016","IDX","Index","0","Units",,,102.532399094892,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2017-Q1","Q1-2017","IDX","Index","0","Units",,,103.316829906591,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2017-Q2","Q2-2017","IDX","Index","0","Units",,,104.668625971178,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2017-Q3","Q3-2017","IDX","Index","0","Units",,,106.216315397881,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2017-Q4","Q4-2017","IDX","Index","0","Units",,,107.029884667582,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2018-Q1","Q1-2018","IDX","Index","0","Units",,,108.24555019219,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2018-Q2","Q2-2018","IDX","Index","0","Units",,,109.079754914249,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2018-Q3","Q3-2018","IDX","Index","0","Units",,,111.043067842935,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2018-Q4","Q4-2018","IDX","Index","0","Units",,,112.53696549598,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2019-Q1","Q1-2019","IDX","Index","0","Units",,,114.029006120012,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2019-Q2","Q2-2019","IDX","Index","0","Units",,,114.799707145534,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,100.717042933554,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2016-Q2","Q2-2016","IDX","Index","0","Units",,,102.728952854801,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2016-Q3","Q3-2016","IDX","Index","0","Units",,,105.646227532182,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2016-Q4","Q4-2016","IDX","Index","0","Units",,,108.517726870776,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2017-Q1","Q1-2017","IDX","Index","0","Units",,,108.855900466851,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2017-Q2","Q2-2017","IDX","Index","0","Units",,,109.275927254732,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2017-Q3","Q3-2017","IDX","Index","0","Units",,,109.887398012915,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2017-Q4","Q4-2017","IDX","Index","0","Units",,,111.300141110363,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2018-Q1","Q1-2018","IDX","Index","0","Units",,,113.344685709123,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2018-Q2","Q2-2018","IDX","Index","0","Units",,,114.45323213904,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2018-Q3","Q3-2018","IDX","Index","0","Units",,,114.922731791335,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2018-Q4","Q4-2018","IDX","Index","0","Units",,,116.711880310821,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2019-Q1","Q1-2019","IDX","Index","0","Units",,,119.949874663983,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2019-Q2","Q2-2019","IDX","Index","0","Units",,,119.415955077294,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q1","Q1-2016","IDX","Index","0","Units",,,99.4067685547523,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q2","Q2-2016","IDX","Index","0","Units",,,99.4306164355379,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q3","Q3-2016","IDX","Index","0","Units",,,99.3381660413101,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q4","Q4-2016","IDX","Index","0","Units",,,99.6186020476739,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q1","Q1-2017","IDX","Index","0","Units",,,100.2717859572,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q2","Q2-2017","IDX","Index","0","Units",,,100.547938129177,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q3","Q3-2017","IDX","Index","0","Units",,,101.020452057851,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q4","Q4-2017","IDX","Index","0","Units",,,100.544553027693,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q1","Q1-2018","IDX","Index","0","Units",,,101.782346926353,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q2","Q2-2018","IDX","Index","0","Units",,,101.152728864452,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q3","Q3-2018","IDX","Index","0","Units",,,101.593283283975,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q4","Q4-2018","IDX","Index","0","Units",,,101.044344244462,,
"FRA","France","HPI_YDH","Price to income ratio","2019-Q1","Q1-2019","IDX","Index","0","Units",,,100.627311018389,,
"FRA","France","HPI_YDH","Price to income ratio","2019-Q2","Q2-2019","IDX","Index","0","Units",,,101.355666397379,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2016-Q1","Q1-2016","IDX","Index","0","Units",,,101.838134547089,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2016-Q2","Q2-2016","IDX","Index","0","Units",,,102.632018534164,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2016-Q3","Q3-2016","IDX","Index","0","Units",,,103.432603643627,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2016-Q4","Q4-2016","IDX","Index","0","Units",,,104.272729038588,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2017-Q1","Q1-2017","IDX","Index","0","Units",,,105.150171633511,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2017-Q2","Q2-2017","IDX","Index","0","Units",,,106.004266195966,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2017-Q3","Q3-2017","IDX","Index","0","Units",,,106.798730976581,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2017-Q4","Q4-2017","IDX","Index","0","Units",,,107.516025808011,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2018-Q1","Q1-2018","IDX","Index","0","Units",,,108.438179131182,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2018-Q2","Q2-2018","IDX","Index","0","Units",,,108.975652793079,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2018-Q3","Q3-2018","IDX","Index","0","Units",,,109.511957536925,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2018-Q4","Q4-2018","IDX","Index","0","Units",,,109.967669912874,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2019-Q1","Q1-2019","IDX","Index","0","Units",,,110.179741370521,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2019-Q2","Q2-2019","IDX","Index","0","Units",,,110.38731418873,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,99.9984868038246,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2016-Q2","Q2-2016","IDX","Index","0","Units",,,100.214251575738,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2016-Q3","Q3-2016","IDX","Index","0","Units",,,100.323629039165,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2016-Q4","Q4-2016","IDX","Index","0","Units",,,100.730412549603,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2017-Q1","Q1-2017","IDX","Index","0","Units",,,101.057370220333,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2017-Q2","Q2-2017","IDX","Index","0","Units",,,101.299787670667,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2017-Q3","Q3-2017","IDX","Index","0","Units",,,101.562059904272,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2017-Q4","Q4-2017","IDX","Index","0","Units",,,101.616272066339,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2018-Q1","Q1-2018","IDX","Index","0","Units",,,101.640264084392,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2018-Q2","Q2-2018","IDX","Index","0","Units",,,101.686071313774,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2018-Q3","Q3-2018","IDX","Index","0","Units",,,101.774592170867,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2018-Q4","Q4-2018","IDX","Index","0","Units",,,101.910562255679,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2019-Q1","Q1-2019","IDX","Index","0","Units",,,102.016475859835,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2019-Q2","Q2-2019","IDX","Index","0","Units",,,102.139715325171,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2019-Q3","Q3-2019","IDX","Index","0","Units",,,102.242498780185,,
"CHE","Switzerland","RPI","Rent prices, s.a.","2019-Q4","Q4-2019","IDX","Index","0","Units",,,102.332466459501,,
"CAN","Canada","RHP","Real house price indices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,104.201213002518,,
"CAN","Canada","RHP","Real house price indices, s.a.","2016-Q2","Q2-2016","IDX","Index","0","Units",,,107.26328867992,,
"CAN","Canada","RHP","Real house price indices, s.a.","2016-Q3","Q3-2016","IDX","Index","0","Units",,,111.027581977262,,
"CAN","Canada","RHP","Real house price indices, s.a.","2016-Q4","Q4-2016","IDX","Index","0","Units",,,113.65916319954,,
"CAN","Canada","RHP","Real house price indices, s.a.","2017-Q1","Q1-2017","IDX","Index","0","Units",,,116.504479202158,,
"CAN","Canada","RHP","Real house price indices, s.a.","2017-Q2","Q2-2017","IDX","Index","0","Units",,,120.565539662112,,
"CAN","Canada","RHP","Real house price indices, s.a.","2017-Q3","Q3-2017","IDX","Index","0","Units",,,123.895789413044,,
"CAN","Canada","RHP","Real house price indices, s.a.","2017-Q4","Q4-2017","IDX","Index","0","Units",,,122.668669029878,,
"CAN","Canada","RHP","Real house price indices, s.a.","2018-Q1","Q1-2018","IDX","Index","0","Units",,,123.768242031517,,
"CAN","Canada","RHP","Real house price indices, s.a.","2018-Q2","Q2-2018","IDX","Index","0","Units",,,123.620171903103,,
"CAN","Canada","RHP","Real house price indices, s.a.","2018-Q3","Q3-2018","IDX","Index","0","Units",,,123.33156903534,,
"CAN","Canada","RHP","Real house price indices, s.a.","2018-Q4","Q4-2018","IDX","Index","0","Units",,,124.053681905234,,
"CAN","Canada","RHP","Real house price indices, s.a.","2019-Q1","Q1-2019","IDX","Index","0","Units",,,124.222505334114,,
"CAN","Canada","RHP","Real house price indices, s.a.","2019-Q2","Q2-2019","IDX","Index","0","Units",,,122.484384957706,,
"CAN","Canada","RHP","Real house price indices, s.a.","2019-Q3","Q3-2019","IDX","Index","0","Units",,,122.112293911019,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,100.301996476065,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2016-Q2","Q2-2016","IDX","Index","0","Units",,,100.251013416681,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2016-Q3","Q3-2016","IDX","Index","0","Units",,,100.406876544184,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2016-Q4","Q4-2016","IDX","Index","0","Units",,,100.04011356307,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2017-Q1","Q1-2017","IDX","Index","0","Units",,,99.5845199470327,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2017-Q2","Q2-2017","IDX","Index","0","Units",,,99.3182952162232,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2017-Q3","Q3-2017","IDX","Index","0","Units",,,98.9440994340003,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2017-Q4","Q4-2017","IDX","Index","0","Units",,,98.8530854027441,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2018-Q1","Q1-2018","IDX","Index","0","Units",,,99.100201743806,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2018-Q2","Q2-2018","IDX","Index","0","Units",,,98.86362317287,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2018-Q3","Q3-2018","IDX","Index","0","Units",,,98.1665771014899,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2018-Q4","Q4-2018","IDX","Index","0","Units",,,98.3695979866538,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2019-Q1","Q1-2019","IDX","Index","0","Units",,,98.1873901818052,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2019-Q2","Q2-2019","IDX","Index","0","Units",,,98.6372456362905,,
